"id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name","year"
12,25,"Бокситогорск",33.8626345309337,59.476942739464,15.2,6,"условно комфортный климат",42,31,26,32,23,37,191,"https://api.индекс-городов.рф/uploads/city/emblem/83/thumb_83_boksitogorsky.png","Ленинградская область","Малый город",2018
13,22,"Бородино",94.9041362530468,55.9010470346384,16.1,6,"условно комфортный климат",41,31,12,17,26,35,162,"https://api.индекс-городов.рф/uploads/city/emblem/92/thumb_92_borodino.png","Красноярский край","Малый город",2018
14,80,"Верхний Уфалей",60.2347534867194,56.0474435295699,26.9,5,"условно комфортный климат",25,22,24,19,26,29,145,"https://api.индекс-городов.рф/uploads/city/emblem/108/thumb_108_verhny_ufaley.png","Челябинская область","Малый город",2018
15,15,"Гвардейск",21.062176202189,54.6525631168433,13.2,6,"условно комфортный климат",42,34,39,26,25,30,196,"https://api.индекс-городов.рф/uploads/city/emblem/139/thumb_139_gvardeysk.png","Калининградская область","Малый город",2018
16,22,"Дивногорск",92.3537247575609,55.9503173215405,29.2,5,"условно комфортный климат",29,22,26,27,24,28,156,"https://api.индекс-городов.рф/uploads/city/emblem/172/thumb_172_divnogorsk.png","Красноярский край","Малый город",2018
17,69,"Дорогобуж",33.2898899970111,54.9076055750815,9.5,6,"условно комфортный климат",31,26,27,19,28,26,157,"https://api.индекс-городов.рф/uploads/city/emblem/180/thumb_180_Dorogobuzh.png","Смоленская область","Малый город",2018
18,29,"Дрезна",38.8493196869729,55.7424097766012,11.3,6,"условно комфортный климат",42,29,20,44,27,31,193,"https://api.индекс-городов.рф/uploads/city/emblem/181/thumb_181_Drezna.png","Московская область","Малый город",2018
19,25,"Волхов",32.3285519794146,59.9154944378015,44.5,5,"условно комфортный климат",39,31,23,22,22,31,168,"https://api.индекс-городов.рф/uploads/city/emblem/122/thumb_122_volkhov.gif","Ленинградская область","Малый город",2018
20,13,"Заволжск",42.1406416329987,57.4806988417162,9.8,6,"условно комфортный климат",39,29,29,21,17,32,167,"https://api.индекс-городов.рф/uploads/city/emblem/205/thumb_205_Zavolzhsk.png","Ивановская область","Малый город",2018
21,22,"Иланский",96.1032726367372,56.2383163637996,15,6,"условно комфортный климат",23,19,17,11,14,31,115,"https://api.индекс-городов.рф/uploads/city/emblem/232/thumb_233_ilanski.png","Красноярский край","Малый город",2018
22,67,"Ирбит",63.0316965343162,57.6523291532332,36.7,5,"условно комфортный климат",27,30,24,29,25,39,174,"https://api.индекс-городов.рф/uploads/city/emblem/238/thumb_239_Irbit.png","Свердловская область","Малый город",2018
23,76,"Камбарка",54.2065898415517,56.2492703423725,10.2,6,"условно комфортный климат",27,26,18,24,20,35,150,"https://api.индекс-городов.рф/uploads/city/emblem/248/thumb_249_Kambarka.png","Удмуртская Республика","Малый город",2018
24,73,"Кедровый",79.5678564463877,57.5619454590494,1.9,7,"условно комфортный климат",34,21,17,12,15,42,141,"https://api.индекс-городов.рф/uploads/city/emblem/273/thumb_274_Kedrovi.png","Томская область","Малый город",2018
25,32,"Княгинино",45.0349320679748,55.8231967752504,6.6,6,"условно комфортный климат",29,28,15,27,24,33,156,"https://api.индекс-городов.рф/uploads/city/emblem/291/thumb_293_Knyaginino.png","Нижегородская область","Малый город",2018
