"id","region_id","name","longitude","latitude","people_count","group_id","climate","house_points","street_points","park_points","business_points","social_points","common_points","total_points","emblem_url","region_name","group_name"
1801,143,"Удачный",112.232198259775,66.4116896642413,12,13,"тяжелые климатические условия",39,25,15,11,10,35,135,"https://api.индекс-городов.рф/uploads/city/emblem/1801/thumb_689_udachny.png","Республика Саха (Якутия)","Малый город"
1830,150,"Цивильск",47.472049734137,55.8648803157556,15,13,"условно комфортный климат",34,31,32,32,19,27,175,"https://api.индекс-городов.рф/uploads/city/emblem/1830/thumb_718_tsivilsk.png","Чувашская Республика","Малый город"
1860,150,"Шумерля",46.4126546282076,55.4989771044887,28.4,12,"условно комфортный климат",36,34,20,24,25,36,175,"https://api.индекс-городов.рф/uploads/city/emblem/1860/thumb_749_shumerlya.png","Чувашская Республика","Малый город"
1864,111,"Щучье",62.7457654152254,55.2304554866975,9.5,13,"условно комфортный климат",29,26,40,20,18,23,156,"https://api.индекс-городов.рф/uploads/city/emblem/1864/thumb_753_schyuchie.png","Курганская область","Малый город"
1889,88,"Санкт-Петербург",30.2111089442246,59.9250958048994,5398.1,8,"условно комфортный климат",37,48,45,45,31,37,243,"https://api.индекс-городов.рф/uploads/city/emblem/1889/thumb_778_sankt_peterburg.png","Санкт-Петербург","Крупнейший город"
1917,149,"Урус-Мартан",45.5386824217574,43.1317832729266,62.7,11,"условно комфортный климат",32,23,15,11,17,38,136,"https://api.индекс-городов.рф/uploads/city/emblem/1917/thumb_806_Urus-Martan.png","Чеченская Республика","Средний город"
1946,156,"Ревда",59.9263595785628,56.8073438687171,61.5,11,"условно комфортный климат",35,34,18,24,25,35,171,"https://api.индекс-городов.рф/uploads/city/emblem/1946/thumb_835_Revda.png","Свердловская область","Средний город"
1974,156,"Верхняя Пышма",60.5819893190812,56.9696426242273,72.7,11,"условно комфортный климат",37,28,22,35,26,34,182,"https://api.индекс-городов.рф/uploads/city/emblem/1974/thumb_863_Verkhnyaya_Pyshma.png","Свердловская область","Средний город"
2000,102,"Усолье-Сибирское",103.637957001033,52.7539200720978,76,11,"условно комфортный климат",29,20,21,18,22,34,144,"https://api.индекс-городов.рф/uploads/city/emblem/2000/thumb_889_Usolye-Sibirskoe.gif","Иркутская область","Средний город"
2003,109,"Ейск",38.2891721374988,46.6658819122965,83.1,11,"условно комфортный климат",33,25,17,22,36,32,165,"https://api.индекс-городов.рф/uploads/city/emblem/2003/thumb_892_eysk.png","Краснодарский край","Средний город"
2035,153,"Новокуйбышевск",49.9236694197256,53.1056346489056,100.5,10,"условно комфортный климат",36,33,25,20,30,20,164,"https://api.индекс-городов.рф/uploads/city/emblem/2035/thumb_924_Novokuibyshevsk.gif","Самарская область","Большой город"
2043,169,"Ноябрьск",75.6511750271721,63.1687655011817,106.9,10,"тяжелые климатические условия",27,28,20,28,30,32,165,"https://api.индекс-городов.рф/uploads/city/emblem/2043/thumb_932_Noyabrsk.png","Ямало-Ненецкий автономный округ","Большой город"
2047,151,"Новошахтинск",39.9184093296261,47.7835653464058,106.5,10,"условно комфортный климат",21,22,12,16,22,29,122,"https://api.индекс-городов.рф/uploads/city/emblem/2047/thumb_936_Novoshakhtinsk.png","Ростовская область","Большой город"
2073,95,"Ковров",41.3169138089002,56.3580239132408,135.7,10,"условно комфортный климат",36,29,21,25,36,39,186,"https://api.индекс-городов.рф/uploads/city/emblem/2073/thumb_962_Kovrov.png","Владимирская область","Большой город"
2087,116,"Электросталь",38.4532574288124,55.7850839193889,156,10,"условно комфортный климат",41,35,25,28,35,36,200,"https://api.индекс-городов.рф/uploads/city/emblem/2087/thumb_976_Electrosteel.png","Московская область","Большой город"
